OTU	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
ASV000148	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000179	0	0	7	0	0	0	0	0	0	0	0	0	226	72	79	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2
ASV000158	0	10	0	0	0	9	0	0	0	0	0	0	0	0	0	17	138	38	38	27	28	7	7	20	30	4	0	0	0	20
ASV000176	37	4	9	0	0	0	0	0	0	0	0	0	87	91	61	0	0	3	0	0	0	0	0	0	0	0	0	92	4	5
ASV000212	56	0	179	0	0	0	0	0	0	0	0	3	0	0	2	11	0	3	12	29	31	4	19	12	21	5	1	0	0	0
ASV000157	0	0	0	0	0	0	0	0	0	0	0	5	65	0	0	0	0	0	50	17	72	0	31	67	45	21	4	0	10	0
ASV000168	0	0	0	0	45	0	27	17	0	7	0	0	0	0	0	0	18	6	36	26	60	46	12	30	28	13	6	0	0	9
ASV000182	7	0	3	0	63	3	0	0	0	0	0	0	2	97	116	0	2	0	20	0	0	18	9	13	14	0	0	0	0	15
ASV000165	4	0	0	0	0	0	0	0	0	0	0	0	5	113	15	0	2	3	0	0	0	0	0	0	0	0	0	229	6	3
ASV000164	0	0	0	1	0	0	0	0	4	0	9	0	0	0	0	23	14	0	13	20	33	19	43	9	96	66	0	1	2	23
ASV000175	0	0	3	0	0	0	0	2	0	0	0	0	136	79	38	2	1	1	1	0	0	27	0	0	2	0	0	5	17	62
ASV000501	0	0	0	0	110	0	0	256	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV000722	0	0	0	0	0	0	1	13	243	0	0	109	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV000183	0	0	0	51	1	0	0	0	0	23	15	13	0	0	0	0	0	0	3	4	7	0	6	2	12	108	124	0	0	0
ASV000186	0	0	0	7	0	0	0	0	0	58	0	0	0	0	0	9	11	7	15	9	16	29	27	16	65	50	29	5	16	0
ASV000170	0	3	1	1	0	0	0	4	0	9	0	0	0	1	0	4	64	46	9	13	39	29	17	47	20	7	4	1	21	25
ASV000160	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	2	3	0	0	0	0	0	0	0	0	347	1	3
ASV000167	67	5	10	0	0	32	0	0	0	0	0	0	2	0	0	18	13	45	13	29	28	1	45	23	14	2	3	1	5	6
ASV000188	0	0	0	67	2	0	0	0	0	39	13	5	0	0	0	0	0	0	3	5	2	0	4	4	8	65	145	0	0	0
ASV000631	0	0	0	0	3	0	0	10	0	2	342	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0
ASV000336	0	0	0	0	4	0	34	15	0	4	218	0	0	9	0	19	0	9	8	0	0	7	9	0	9	0	0	0	11	5
ASV000195	0	231	0	0	0	0	0	0	0	0	0	0	10	0	0	11	12	0	0	0	14	0	0	15	0	0	2	55	0	9
ASV000588	0	0	3	1	59	0	0	21	3	0	219	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000196	0	1	9	0	0	0	0	0	0	0	0	0	109	19	28	0	0	52	39	0	38	1	11	23	8	0	4	2	4	1
ASV000251	0	0	0	0	1	0	20	6	0	8	0	121	1	2	0	0	0	22	0	9	0	10	12	20	1	34	0	44	29	8
ASV000427	0	0	0	50	50	0	0	0	10	0	231	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
