,logFC,logCPM,LR,PValue,FDR,Domain,Phylum,Class,Order,Family,Genus,Species,threshold
ASV002783,-2.36783311807894,7.40785348186798,0.514460923626307,0.473214106686742,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Minimelanolocus,,Not significant
ASV002869,3.16306178015024,7.53756450136004,0.725510832407298,0.394342183946914,0.784042842117005,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Not significant
ASV003328,0.0287309994453871,7.30689387612421,0.00169891326002647,0.967122203200603,0.969306399658477,Fungi,Ascomycota,Sordariomycetes,,,,,Not significant
ASV003775,2.70921426070726,7.45688878830174,2.3957227155528,0.12166750983836,0.529548033884195,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,,,Not significant
ASV003992,2.30241253293933,7.3989614717992,0.521567961392486,0.470173599646268,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Idriella,,Not significant
ASV004017,2.69893694483541,7.45630890267502,0.621157707270778,0.430617399836462,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Setophoma_terrestris,Not significant
ASV001726,-2.06956045914935,7.3691849198724,0.517362956162046,0.471968742666481,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,,Not significant
ASV001745,-2.06956045914935,7.3691849198724,0.517362956162046,0.471968742666481,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,Not significant
ASV001755,-2.27860999044652,7.39475242857776,0.505540377886008,0.477075791417758,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,,Not significant
ASV001796,2.44479655855212,7.41679551646016,0.535589854356116,0.464266202708275,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,,Not significant
ASV001803,-0.305575247586145,7.25571317874802,0.196211082515461,0.657796691503468,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Veronaea,Veronaea_japonica,Not significant
ASV001809,-2.25069095893259,7.39069279691789,1.06678274519106,0.301673279832271,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,,Not significant
ASV001883,-2.07565875305495,7.3691849198724,1.06048801043496,0.303103907492394,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Pestalotiopsis,,Not significant
ASV001909,-1.4115073354497,7.35224247955983,0.417361851119087,0.518256373213,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,,Not significant
